[49/81] Area_5/hallway_1 pre k=32: flashknn=288.0MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.0MiB
[49/81] Area_5/hallway_1 post k=32: flashknn=118.4MiB, cuda_kdtree=37.7MiB, faiss_flat=1564.0MiB, faiss_ivf=1566.8MiB
[50/81] Area_5/hallway_10 pre k=32: flashknn=290.8MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.1MiB
[50/81] Area_5/hallway_10 post k=32: flashknn=118.9MiB, cuda_kdtree=37.3MiB, faiss_flat=1563.7MiB, faiss_ivf=1566.5MiB
[51/81] Area_5/hallway_13 pre k=32: flashknn=291.1MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.1MiB
[51/81] Area_5/hallway_13 post k=32: flashknn=120.1MiB, cuda_kdtree=37.4MiB, faiss_flat=1563.7MiB, faiss_ivf=1566.5MiB
[52/81] Area_5/hallway_15 pre k=32: flashknn=291.4MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.0MiB
[52/81] Area_5/hallway_15 post k=32: flashknn=120.6MiB, cuda_kdtree=37.7MiB, faiss_flat=1564.1MiB, faiss_ivf=1566.9MiB
[53/81] Area_5/hallway_2 pre k=32: flashknn=289.1MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.1MiB
[53/81] Area_5/hallway_2 post k=32: flashknn=117.9MiB, cuda_kdtree=37.4MiB, faiss_flat=1563.6MiB, faiss_ivf=1566.3MiB
[54/81] Area_5/hallway_3 pre k=32: flashknn=290.7MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.0MiB
[54/81] Area_5/hallway_3 post k=32: flashknn=120.9MiB, cuda_kdtree=37.4MiB, faiss_flat=1563.9MiB, faiss_ivf=1566.5MiB
[55/81] Area_5/hallway_4 pre k=32: flashknn=290.1MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.0MiB
[55/81] Area_5/hallway_4 post k=32: flashknn=120.8MiB, cuda_kdtree=37.5MiB, faiss_flat=1563.8MiB, faiss_ivf=1566.5MiB
[56/81] Area_5/hallway_5 pre k=32: flashknn=288.1MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.2MiB
[56/81] Area_5/hallway_5 post k=32: flashknn=118.7MiB, cuda_kdtree=37.5MiB, faiss_flat=1563.8MiB, faiss_ivf=1566.5MiB
[57/81] Area_5/hallway_6 pre k=32: flashknn=289.5MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1634.9MiB
[57/81] Area_5/hallway_6 post k=32: flashknn=119.3MiB, cuda_kdtree=37.3MiB, faiss_flat=1563.7MiB, faiss_ivf=1566.4MiB
[58/81] Area_5/hallway_7 pre k=32: flashknn=288.5MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.1MiB
[58/81] Area_5/hallway_7 post k=32: flashknn=119.7MiB, cuda_kdtree=37.1MiB, faiss_flat=1563.6MiB, faiss_ivf=1566.4MiB
[59/81] Area_5/hallway_9 pre k=32: flashknn=290.2MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.2MiB
[59/81] Area_5/hallway_9 post k=32: flashknn=121.0MiB, cuda_kdtree=37.5MiB, faiss_flat=1563.8MiB, faiss_ivf=1566.4MiB
[60/81] Area_5/lobby_1 pre k=32: flashknn=289.4MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.1MiB
[60/81] Area_5/lobby_1 post k=32: flashknn=119.3MiB, cuda_kdtree=36.9MiB, faiss_flat=1563.5MiB, faiss_ivf=1566.3MiB
[61/81] Area_5/office_13 pre k=32: flashknn=291.7MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.2MiB
[61/81] Area_5/office_13 post k=32: flashknn=122.8MiB, cuda_kdtree=37.9MiB, faiss_flat=1564.5MiB, faiss_ivf=1567.4MiB
[62/81] Area_5/office_14 pre k=32: flashknn=292.2MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.3MiB
[62/81] Area_5/office_14 post k=32: flashknn=122.6MiB, cuda_kdtree=38.0MiB, faiss_flat=1565.5MiB, faiss_ivf=1568.4MiB
[63/81] Area_5/office_15 pre k=32: flashknn=290.6MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.1MiB
[63/81] Area_5/office_15 post k=32: flashknn=120.8MiB, cuda_kdtree=37.7MiB, faiss_flat=1564.2MiB, faiss_ivf=1566.9MiB
[64/81] Area_5/office_17 pre k=32: flashknn=289.9MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.1MiB
[64/81] Area_5/office_17 post k=32: flashknn=120.3MiB, cuda_kdtree=37.2MiB, faiss_flat=1563.6MiB, faiss_ivf=1566.5MiB
[65/81] Area_5/office_18 pre k=32: flashknn=290.7MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.2MiB
[65/81] Area_5/office_18 post k=32: flashknn=120.4MiB, cuda_kdtree=37.5MiB, faiss_flat=1563.8MiB, faiss_ivf=1566.6MiB
[66/81] Area_5/office_19 pre k=32: flashknn=291.4MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.2MiB
[66/81] Area_5/office_19 post k=32: flashknn=122.3MiB, cuda_kdtree=37.9MiB, faiss_flat=1564.3MiB, faiss_ivf=1567.1MiB
[67/81] Area_5/office_21 pre k=32: flashknn=289.8MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.0MiB
[67/81] Area_5/office_21 post k=32: flashknn=119.4MiB, cuda_kdtree=37.5MiB, faiss_flat=1563.8MiB, faiss_ivf=1566.5MiB
[68/81] Area_5/office_24 pre k=32: flashknn=291.3MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.1MiB
[68/81] Area_5/office_24 post k=32: flashknn=123.8MiB, cuda_kdtree=38.2MiB, faiss_flat=1564.9MiB, faiss_ivf=1567.7MiB
[69/81] Area_5/office_29 pre k=32: flashknn=291.1MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.2MiB
[69/81] Area_5/office_29 post k=32: flashknn=122.1MiB, cuda_kdtree=37.9MiB, faiss_flat=1564.3MiB, faiss_ivf=1567.2MiB
[70/81] Area_5/office_36 pre k=32: flashknn=290.9MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.3MiB
[70/81] Area_5/office_36 post k=32: flashknn=121.7MiB, cuda_kdtree=37.8MiB, faiss_flat=1564.3MiB, faiss_ivf=1567.1MiB
[71/81] Area_5/office_37 pre k=32: flashknn=292.5MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.3MiB
[71/81] Area_5/office_37 post k=32: flashknn=128.5MiB, cuda_kdtree=38.8MiB, faiss_flat=1565.8MiB, faiss_ivf=1568.8MiB
[72/81] Area_5/office_38 pre k=32: flashknn=292.6MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.2MiB
[72/81] Area_5/office_38 post k=32: flashknn=128.1MiB, cuda_kdtree=38.5MiB, faiss_flat=1566.3MiB, faiss_ivf=1569.2MiB
[73/81] Area_5/office_40 pre k=32: flashknn=292.5MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.2MiB
[73/81] Area_5/office_40 post k=32: flashknn=125.0MiB, cuda_kdtree=38.4MiB, faiss_flat=1565.1MiB, faiss_ivf=1567.9MiB
[74/81] Area_5/office_41 pre k=32: flashknn=290.9MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.2MiB
[74/81] Area_5/office_41 post k=32: flashknn=123.0MiB, cuda_kdtree=37.9MiB, faiss_flat=1564.4MiB, faiss_ivf=1567.3MiB
[75/81] Area_6/conferenceRoom_1 pre k=32: flashknn=291.7MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.1MiB
[75/81] Area_6/conferenceRoom_1 post k=32: flashknn=120.5MiB, cuda_kdtree=37.6MiB, faiss_flat=1564.0MiB, faiss_ivf=1566.8MiB
[76/81] Area_6/hallway_1 pre k=32: flashknn=290.1MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.2MiB
[76/81] Area_6/hallway_1 post k=32: flashknn=120.0MiB, cuda_kdtree=37.6MiB, faiss_flat=1564.0MiB, faiss_ivf=1566.8MiB
[77/81] Area_6/hallway_2 pre k=32: flashknn=290.9MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.2MiB
[77/81] Area_6/hallway_2 post k=32: flashknn=120.8MiB, cuda_kdtree=37.7MiB, faiss_flat=1564.0MiB, faiss_ivf=1566.8MiB
[78/81] Area_6/lounge_1 pre k=32: flashknn=292.1MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.3MiB
[78/81] Area_6/lounge_1 post k=32: flashknn=122.0MiB, cuda_kdtree=38.1MiB, faiss_flat=1564.7MiB, faiss_ivf=1567.4MiB
[79/81] Area_6/office_8 pre k=32: flashknn=291.5MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.1MiB
[79/81] Area_6/office_8 post k=32: flashknn=121.0MiB, cuda_kdtree=37.8MiB, faiss_flat=1564.2MiB, faiss_ivf=1567.1MiB
[80/81] Area_6/office_9 pre k=32: flashknn=290.9MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.1MiB
[80/81] Area_6/office_9 post k=32: flashknn=121.8MiB, cuda_kdtree=38.1MiB, faiss_flat=1564.6MiB, faiss_ivf=1567.4MiB
[81/81] Area_6/openspace_1 pre k=32: flashknn=289.7MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.1MiB
[81/81] Area_6/openspace_1 post k=32: flashknn=119.6MiB, cuda_kdtree=37.6MiB, faiss_flat=1563.9MiB, faiss_ivf=1566.8MiB
Saved 162 records to results/L20/l20_stale_candidate_fix_complete_20260824/memory/s3dis_memory_k32.json
