room,points,boundary_points,boundary_fraction,subset,method,count,accuracy,mean_class_accuracy,miou
5_hallway_13,84227,363,0.00430978,non_boundary,FlashKNN,83864,0.89138367,0.81954502,0.58033479
5_hallway_13,84227,363,0.00430978,non_boundary,ExactKNN,83864,0.88988124,0.81461140,0.66593322
5_office_24,112035,2259,0.02016334,all,FlashKNN,112035,0.85496497,0.87085003,0.72837185
5_office_24,112035,2259,0.02016334,all,ExactKNN,112035,0.83767573,0.85596877,0.71119022
5_office_24,112035,2259,0.02016334,semantic_boundary,FlashKNN,2259,0.54625941,0.44506174,0.27466501
5_office_24,112035,2259,0.02016334,semantic_boundary,ExactKNN,2259,0.55068614,0.45834147,0.31378076
5_office_24,112035,2259,0.02016334,non_boundary,FlashKNN,109776,0.86131759,0.87770993,0.73739972
5_office_24,112035,2259,0.02016334,non_boundary,ExactKNN,109776,0.84358148,0.86222449,0.71887905
5_office_3,53036,553,0.01042688,all,FlashKNN,53036,0.93283807,0.92234106,0.87765262
5_office_3,53036,553,0.01042688,all,ExactKNN,53036,0.93362999,0.92051075,0.79783994
5_office_3,53036,553,0.01042688,semantic_boundary,FlashKNN,553,0.71428571,0.64591555,0.42339703
5_office_3,53036,553,0.01042688,semantic_boundary,ExactKNN,553,0.72332731,0.57066674,0.37712025
5_office_3,53036,553,0.01042688,non_boundary,FlashKNN,52483,0.93514090,0.92484560,0.88155010
5_office_3,53036,553,0.01042688,non_boundary,ExactKNN,52483,0.93584589,0.92295604,0.80141107
5_office_29,112389,1720,0.01530399,all,FlashKNN,112389,0.80650242,0.84431147,0.69948744
5_office_29,112389,1720,0.01530399,all,ExactKNN,112389,0.79128740,0.83031461,0.74949220
5_office_29,112389,1720,0.01530399,semantic_boundary,FlashKNN,1720,0.60290698,0.56521616,0.36009515
5_office_29,112389,1720,0.01530399,semantic_boundary,ExactKNN,1720,0.58720930,0.52939643,0.36782128
5_office_29,112389,1720,0.01530399,non_boundary,FlashKNN,110669,0.80966666,0.84885399,0.70531403
5_office_29,112389,1720,0.01530399,non_boundary,ExactKNN,110669,0.79445915,0.83529718,0.75621525
5_storage_4,49008,305,0.00622347,all,FlashKNN,49008,0.85277914,0.79231074,0.66034840
5_storage_4,49008,305,0.00622347,all,ExactKNN,49008,0.82917075,0.76018362,0.56558814
5_storage_4,49008,305,0.00622347,semantic_boundary,FlashKNN,305,0.57049180,0.48849175,0.32138223
5_storage_4,49008,305,0.00622347,semantic_boundary,ExactKNN,305,0.51475410,0.42863895,0.27186055
5_storage_4,49008,305,0.00622347,non_boundary,FlashKNN,48703,0.85454695,0.79717382,0.66462537
5_storage_4,49008,305,0.00622347,non_boundary,ExactKNN,48703,0.83113977,0.76464136,0.56996437
5_conferenceRoom_3,101904,825,0.00809585,all,FlashKNN,101904,0.92349662,0.85228758,0.74882094
5_conferenceRoom_3,101904,825,0.00809585,all,ExactKNN,101904,0.91541058,0.82631071,0.72217103
5_conferenceRoom_3,101904,825,0.00809585,semantic_boundary,FlashKNN,825,0.70424242,0.62359884,0.38062911
5_conferenceRoom_3,101904,825,0.00809585,semantic_boundary,ExactKNN,825,0.71393939,0.59154034,0.36876422
